Id,Label
1,Texta
2,Nazar
3,Monobrother
4,Yasmo
5,CRB
6,Waiszbrohd
7,Boomer
8,Blumentopf
9,Markee
10,Oh-Vo
11,Mario 23
12,Akil
13,Tariq
14,Click the Supahlatin
15,Holunder
16,Pahel/RAG
17,Peter Lang
18,Shy
19,Def Ill
20,Louie Austen
21,Sektion Kuchikaeschtli
22,One II Many
23,Nikitaman
24,Wenzel Washington
25,Attwenger
26,Average
27,Soprano
28,Lylit
29,Godsilla
30,Tareec
31,RAF Camora
32,Emiriz
33,Ezai
34,Deso Dogg
35,MC Bogy
36,Jonesmann
37,Summer Cem
38,Chakuza
39,Saad
40,Ozan
41,Haftbefehl
42,Manuellsen
43,Konshens
44,Farid Bang
45,Motrip
46,Sido
47,Gary Howard
48,Projekt Elias
49,(Falco)
50,Celo & Abdi
51,Mark Forster
52,Fiva
53,Saebjul
54,Digga Mindz
55,5Finga
56,Stixx
57,Wienzeile
58,Kardinal Kaos
59,Kreiml
60,Phil Fin
61,Mieze Medusa
62,Selbstlaut
63,Milkman
64,Bacchus
65,P.tah
66,Giga Ritsch
67,Jahson the Scientist
